year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2013,1,Bay of Plenty Region,15-19,Female,1929,23148,22932,11610,3516,33,705,1548,15,4428,1077,4209,4563
2013,1,Bay of Plenty Region,15-19,Male,1917,23016,22794,10890,3270,162,1362,1512,261,4077,1263,2418,4614
2013,1,Bay of Plenty Region,20-24,All,3537,42432,41979,189,5823,996,8565,5802,1023,17052,2526,20082,17145
2013,1,Bay of Plenty Region,20-24,Female,1758,21096,20841,153,3420,162,2712,2757,48,10578,1008,12627,6675
2013,1,Bay of Plenty Region,20-24,Male,1779,21336,21135,36,2406,831,5853,3045,978,6474,1518,7458,10470
2013,1,Canterbury Region,15-19,All,4230,50748,50418,25257,5634,672,5196,4218,174,7041,2223,6372,17127
2013,1,Canterbury Region,15-19,Female,2067,24780,24612,13155,2955,153,1434,2136,0,3810,966,3843,7752
2013,1,Canterbury Region,15-19,Male,2163,25968,25806,12105,2679,522,3762,2082,171,3231,1260,2526,9372
2013,1,Canterbury Region,20-24,All,4620,55428,54981,501,5505,2214,19851,7446,963,15780,2721,18240,32778
2013,1,Canterbury Region,20-24,Female,2121,25464,25230,321,3042,480,6351,3768,66,10179,1017,11517,12315
2013,1,Canterbury Region,20-24,Male,2496,29964,29751,177,2463,1731,13500,3681,897,5604,1701,6723,20463
2013,1,Gisborne Region,15-19,All,921,11052,10959,5547,1581,108,540,819,54,1653,654,1695,2508
2013,1,Gisborne Region,15-19,Female,471,5652,5592,3003,696,24,222,375,0,951,318,1098,1218
2013,1,Gisborne Region,15-19,Male,450,5400,5364,2547,882,81,318,447,51,699,333,594,1287
2013,1,Gisborne Region,20-24,All,894,10740,10590,39,1623,315,2133,1761,237,3483,1002,4890,4662
2013,1,Gisborne Region,20-24,Female,447,5364,5277,27,915,87,702,747,12,2406,384,3204,1779
2013,1,Gisborne Region,20-24,Male,450,5376,5313,12,708,228,1434,1017,225,1077,615,1686,2883
2013,1,Hawke's Bay Region,15-19,All,2310,27732,27498,14076,3255,159,1632,2064,126,4809,1383,3990,6591
2013,1,Hawke's Bay Region,15-19,Female,1149,13788,13665,7440,1692,51,465,894,0,2583,537,2361,2991
2013,1,Hawke's Bay Region,15-19,Male,1161,13944,13833,6636,1560,108,1164,1170,126,2226,846,1629,3603
2013,1,Hawke's Bay Region,20-24,All,2079,24936,24726,72,3372,618,5409,3774,525,9219,1731,11571,10887
2013,1,Hawke's Bay Region,20-24,Female,1080,12960,12840,60,2115,132,1794,1815,51,6195,672,7752,4395
2013,1,Hawke's Bay Region,20-24,Male,999,11976,11889,12,1257,486,3618,1956,474,3027,1056,3822,6492
2013,1,Manawatu-Wanganui Region,15-19,All,2982,35760,35532,19185,4575,279,1710,2115,165,6018,1485,6207,7668
2013,1,Manawatu-Wanganui Region,15-19,Female,1479,17724,17601,10014,2187,63,531,1047,6,3072,675,3654,3549
2013,1,Manawatu-Wanganui Region,15-19,Male,1503,18036,17931,9171,2385,213,1182,1068,159,2943,813,2553,4116
2013,1,Manawatu-Wanganui Region,20-24,All,2817,33780,33492,192,4236,837,7080,4905,774,13710,1761,16386,14475
2013,1,Manawatu-Wanganui Region,20-24,Female,1395,16764,16611,99,2295,207,2094,2682,45,8454,735,9912,5820
2013,1,Manawatu-Wanganui Region,20-24,Male,1419,17016,16881,93,1941,627,4986,2220,732,5253,1026,6474,8655
2013,1,Marlborough Region,15-19,All,393,4716,4692,2445,405,54,417,441,0,741,195,654,1497
2013,1,Marlborough Region,15-19,Female,189,2256,2244,1194,210,9,159,192,0,405,69,393,681
2013,1,Marlborough Region,15-19,Male,204,2460,2451,1251,192,42,255,252,0,336,126,258,816
2013,1,Marlborough Region,20-24,All,357,4284,4245,0,321,99,1353,837,72,1281,285,1638,2463
2013,1,Marlborough Region,20-24,Female,186,2232,2208,0,192,15,435,459,0,963,141,1134,993
2013,1,Marlborough Region,20-24,Male,171,2052,2037,0,126,81,915,378,72,315,147,504,1470
2013,1,Nelson Region,15-19,All,483,5808,5763,3147,528,24,441,600,21,765,240,858,1827
2013,1,Nelson Region,15-19,Female,249,2988,2955,1743,273,9,180,273,0,408,75,468,885
2013,1,Nelson Region,15-19,Male,234,2820,2808,1407,255,12,261,324,21,357,165,387,939
2013,1,Nelson Region,20-24,All,480,5748,5712,36,525,189,1695,939,171,1878,279,2349,3117
