eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
European,All,2013,19,33933,407208,400305,19416,164211,13824,79149,65139,483,35040,23046,46200,249858,0.048503016,0.410214711,0.034533668,0.197721737,0.162723423,0.00120658,0.087533256,0.057571102,0.115411998,0.624169071
European,All,2013,20,34983,419796,412155,3771,164778,19389,105312,58716,717,40611,18861,52665,281175,0.00914947,0.399796193,0.047042981,0.255515522,0.142460967,0.001739637,0.098533319,0.04576191,0.127779597,0.682206937
European,All,2013,21,34518,414180,405378,2355,145329,21033,124620,50598,840,44304,16305,55476,286533,0.005809393,0.358502435,0.051884907,0.307416781,0.124816838,0.00207214,0.109290588,0.040221719,0.136850051,0.706829182
European,All,2013,22,35916,431004,420855,420,119529,20970,161679,50211,1215,50382,16449,59667,309756,0.000997968,0.284014684,0.049827138,0.384167944,0.119307125,0.00288698,0.11971344,0.03908472,0.141775671,0.736015967
European,All,2013,23,34677,416124,405729,258,84669,19401,187809,45021,1140,53394,14043,58770,307965,0.000635892,0.208683629,0.047817632,0.462892719,0.110963229,0.002809757,0.131600157,0.034611773,0.14485038,0.759041133
European,All,2013,24,32469,389616,379344,246,60726,16470,198036,37674,1278,52554,12354,53619,292110,0.000648488,0.160081615,0.043417057,0.522048589,0.099313552,0.003368974,0.138539162,0.032566747,0.141346641,0.770039858
European,All,2014,15,36471,437628,433020,425316,198,0,54,681,0,5766,1002,0,45219,0.982208674,0.000457254,0,0.000124706,0.001572676,0,0.013315782,0.002313981,0,0.104427047
European,All,2014,16,36219,434616,429873,407937,6060,243,1473,3036,12,8571,2544,2721,93339,0.948970975,0.014097187,0.000565283,0.003426593,0.007062551,2.79152E-05,0.019938447,0.005918027,0.006329776,0.217131571
European,All,2014,17,34020,408252,403266,339690,23259,1989,9432,10458,72,12585,5781,9750,155052,0.842347235,0.057676571,0.004932228,0.023389029,0.025933255,0.000178542,0.031207689,0.014335451,0.02417759,0.384490634
European,All,2014,18,33249,398988,393303,194883,79695,7209,38040,35652,195,23211,14412,22392,209724,0.495503467,0.202630033,0.01832938,0.096719323,0.090647669,0.000495801,0.059015568,0.036643504,0.056933204,0.533237733
European,All,2014,19,34119,409440,402411,12822,168279,14388,85401,64059,402,33687,23376,42366,254040,0.031862946,0.418176939,0.03575449,0.212223324,0.159187994,0.000998979,0.08371292,0.058089863,0.105280422,0.63129487
European,All,2014,20,33936,407244,400314,3456,159135,18510,106545,55107,600,38496,18459,47973,273591,0.008633223,0.397525443,0.046238703,0.266153569,0.137659437,0.001498823,0.096164511,0.046111303,0.119838427,0.683440999
European,All,2014,21,34575,414888,406056,2019,145308,21048,129645,49356,711,41475,16491,51450,291513,0.004972221,0.357852119,0.051835215,0.319278622,0.121549737,0.00175099,0.102141084,0.040612625,0.126706661,0.717913293
European,All,2014,22,33903,406836,397122,276,110796,20910,157332,45189,831,46290,15498,52422,295164,0.000695001,0.278997386,0.052653844,0.396180519,0.113791228,0.002092556,0.116563676,0.039025791,0.132004774,0.743257739
European,All,2014,23,35082,420984,410682,252,83196,19575,197718,43074,1173,51372,14322,54495,315882,0.000613613,0.202580098,0.047664616,0.481438193,0.104884071,0.002856225,0.125089485,0.034873698,0.132693909,0.769164463
European,All,2014,24,34014,408180,398073,234,61602,17826,213168,39000,1182,52635,12426,53526,311301,0.000587832,0.154750511,0.044780731,0.53549977,0.09797198,0.002969305,0.132224491,0.03121538,0.134462774,0.782019881
European,All,2015,15,37185,446208,441459,433833,180,0,39,693,9,5658,1044,9,45186,0.982725463,0.000407739,0,8.83434E-05,0.001569795,2.03869E-05,0.012816592,0.002364886,2.03869E-05,0.102356051
European,All,2015,16,36480,437772,432624,411642,6141,117,1488,2775,0,8406,2049,2877,94557,0.95150061,0.014194774,0.000270443,0.003439476,0.006414346,0,0.019430267,0.004736214,0.006650116,0.218566238
