year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,5,15-19,1,2373,279,171,177,66,45,1287,414,246,237,81,93,1569,834,351,669,1116,702,684,Male
2013,5,20-24,0,4590,36,24,186,48,18,294,411,114,735,132,135,1359,0,0,0,264,264,0,All
2013,5,20-24,0,1956,12,0,93,27,0,141,174,36,369,57,39,606,0,0,0,123,123,0,Female
2013,5,20-24,0,2634,21,18,93,21,15,156,237,81,363,78,96,753,0,0,0,141,141,0,Male
2013,5,20-24,1,4590,36,24,186,48,18,291,411,114,735,132,135,1359,0,0,0,264,264,0,All
2013,5,20-24,1,1953,12,0,93,27,0,138,174,36,369,57,39,606,0,0,0,123,123,0,Female
2013,5,20-24,1,2634,21,18,90,24,15,153,237,81,363,78,96,753,0,0,0,144,144,0,Male
2013,6,15-19,0,41172,930,633,747,168,129,10305,1698,978,1089,243,360,12291,8817,5007,4887,10512,7131,5028,All
2013,6,15-19,0,17247,345,210,417,36,36,5586,723,297,588,48,96,6234,5106,2292,3447,5673,3186,3510,Female
2013,6,15-19,0,23928,585,423,333,135,93,4719,975,681,501,198,261,6057,3711,2718,1443,4839,3948,1518,Male
2013,6,15-19,1,11628,876,558,744,150,123,6246,1503,780,1029,186,279,7245,4875,1356,4335,5796,2721,4398,All
2013,6,15-19,1,6000,330,198,414,36,36,3807,672,267,573,42,90,4200,3348,708,3135,3696,1392,3156,Female
2013,6,15-19,1,5625,543,360,330,114,84,2439,831,513,459,144,189,3045,1527,651,1203,2097,1332,1242,Male
2013,6,20-24,0,28092,1812,1203,1257,438,243,4059,10674,4824,5067,1212,3804,16329,120,54,72,3528,3471,78,All
2013,6,20-24,0,11412,507,252,651,87,75,1401,3903,1212,2343,261,966,6306,90,30,63,1428,1374,72,Female
2013,6,20-24,0,16680,1308,951,606,351,168,2658,6771,3615,2724,954,2838,10023,30,24,0,2103,2100,0,Male
2013,6,20-24,1,21828,1773,1122,1254,429,240,3930,8712,3756,4524,948,2796,13152,111,45,69,2820,2766,78,All
2013,6,20-24,1,10857,504,249,651,87,78,1389,3717,1125,2277,240,888,6012,87,27,63,1359,1308,69,Female
