year,riskgrp,reg,tla,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2014,6,Tasman Region,Tasman District,20-24,0,75,0,0,0,0,0,0,24,0,18,0,0,42,0,0,0,0,0,0,Female
2014,6,Tasman Region,Tasman District,20-24,0,135,0,0,0,0,0,15,51,42,15,0,21,81,0,0,0,27,27,0,Male
2014,6,Tasman Region,Tasman District,20-24,1,153,0,0,0,0,0,18,57,36,33,0,27,93,0,0,0,27,30,0,All
2014,6,Tasman Region,Tasman District,20-24,1,66,0,0,0,0,0,0,21,0,15,0,0,39,0,0,0,0,0,0,Female
2014,6,Tasman Region,Tasman District,20-24,1,84,0,0,0,0,0,12,33,30,15,0,15,54,0,0,0,21,21,0,Male
2014,6,Waikato Region,East Ward,15-19,0,864,27,0,0,0,0,264,36,0,12,0,0,333,240,159,123,312,234,153,All
2014,6,Waikato Region,East Ward,15-19,0,369,12,0,0,0,0,132,18,0,0,0,0,165,123,63,78,150,102,87,Female
2014,6,Waikato Region,East Ward,15-19,0,495,15,0,0,0,0,132,18,0,0,0,0,168,117,96,45,159,132,63,Male
2014,6,Waikato Region,East Ward,15-19,1,306,24,0,0,0,0,162,33,0,12,0,0,204,141,69,114,186,117,135,All
2014,6,Waikato Region,East Ward,15-19,1,144,0,0,0,0,0,87,15,0,0,0,0,108,81,24,72,99,51,78,Female
2014,6,Waikato Region,East Ward,15-19,1,162,15,0,0,0,0,75,18,0,0,0,0,96,63,42,39,90,63,57,Male
2014,6,Waikato Region,East Ward,20-24,0,537,51,12,15,0,0,69,213,81,120,21,33,303,0,0,0,81,75,0,All
2014,6,Waikato Region,East Ward,20-24,0,240,18,0,0,0,0,30,87,30,60,0,0,138,0,0,0,48,39,0,Female
2014,6,Waikato Region,East Ward,20-24,0,297,33,0,0,0,0,39,126,51,60,18,21,168,0,0,0,36,33,0,Male
2014,6,Waikato Region,East Ward,20-24,1,459,51,0,15,0,0,69,177,69,105,18,24,255,0,0,0,72,63,0,All
2014,6,Waikato Region,East Ward,20-24,1,231,21,0,0,0,0,30,84,30,54,0,0,132,0,0,0,48,39,0,Female
2014,6,Waikato Region,East Ward,20-24,1,225,33,0,0,0,0,36,93,39,48,15,18,126,0,0,0,24,24,0,Male
2014,6,Waikato Region,Hauraki District,15-19,0,255,0,0,0,0,0,60,0,0,0,0,0,75,54,30,33,69,45,39,All
2014,6,Waikato Region,Hauraki District,15-19,0,111,0,0,0,0,0,33,0,0,0,0,0,39,30,12,21,39,21,27,Female
